series_id,observed_sales,recovered_demand,recovered_lost_demand,stockout_rate,stockout_rows,n_rows,Recovered lift over observed,Recovered share from imputation
11_624_600,62.4,80.851295,18.451298,0.5030381944444444,1159,2304,0.29569387,0.22821276
0_411_90,93.47,121.00499,27.534988,0.4878472222222222,1124,2304,0.29458636,0.2275525
13_817_432,47.86,61.949783,14.089784,0.4353298611111111,1003,2304,0.2943958,0.2274388
0_435_379,61.100002,79.036476,17.936474,0.4613715277777778,1063,2304,0.2935593,0.22693919
0_190_108,46.4,59.958878,13.558878,0.3689236111111111,850,2304,0.2922172,0.22613628
7_868_864,56.41,72.83537,16.425371,0.43359375,999,2304,0.29117835,0.22551365
16_559_834,114.9,148.28802,33.388027,0.5047743055555556,1163,2304,0.29058334,0.2251566
0_135_411,51.3,66.14357,14.843566,0.2560763888888889,590,2304,0.28934827,0.22441435
13_346_740,43.0,55.403194,12.403195,0.3971354166666667,915,2304,0.2884464,0.22387148
0_468_797,45.77,58.961796,13.191794,0.3294270833333333,759,2304,0.28821924,0.22373462
3_727_302,48.84,62.906105,14.066103,0.3836805555555556,884,2304,0.28800374,0.22360474
14_286_344,43.96,56.61344,12.653442,0.5481770833333334,1263,2304,0.28783992,0.22350597
3_818_188,49.4,63.603813,14.203812,0.3385416666666667,780,2304,0.28752655,0.22331698
0_308_834,155.1,199.67706,44.577065,0.5360243055555556,1235,2304,0.28740853,0.2232458
16_549_496,41.66,53.63256,11.972562,0.4171006944444444,961,2304,0.28738746,0.22323309
12_357_136,39.06,50.279724,11.219723,0.3116319444444444,718,2304,0.28724328,0.22314607
0_312_259,41.0,52.772495,11.772496,0.3272569444444444,754,2304,0.28713405,0.22308016
12_675_834,82.200005,105.79998,23.59998,0.4353298611111111,1003,2304,0.28710437,0.22306223
12_454_822,38.420002,49.439266,11.019264,0.4283854166666667,987,2304,0.2868106,0.22288486
0_790_18,52.02,66.93639,14.916394,0.4231770833333333,975,2304,0.28674343,0.2228443
16_549_843,44.82,57.64133,12.82133,0.3138020833333333,723,2304,0.2860627,0.22243293
4_864_190,38.28,49.206795,10.926793,0.3211805555555556,740,2304,0.28544393,0.22205862
0_179_224,62.61,80.442894,17.832893,0.5329861111111112,1228,2304,0.284825,0.22168389
11_533_768,56.9,73.071175,16.171177,0.30078125,693,2304,0.28420344,0.2213072
12_483_115,43.52,55.833397,12.313397,0.3302951388888889,761,2304,0.2829365,0.22053821
0_843_63,44.600002,57.19358,12.59358,0.2326388888888889,536,2304,0.28236726,0.2201922
2_48_254,50.27,64.4599,14.189899,0.4032118055555556,929,2304,0.2822737,0.2201353
0_18_5,49.7,63.72089,14.020888,0.40625,936,2304,0.28211042,0.22003597
0_242_373,44.4,56.89493,12.494932,0.3532986111111111,814,2304,0.28141737,0.21961415
10_101_77,42.57,54.53785,11.967849,0.3311631944444444,763,2304,0.2811334,0.21944116
13_810_45,47.15,60.39929,13.249286,0.3098958333333333,714,2304,0.28100288,0.21936162
0_488_797,43.100002,55.207256,12.107254,0.3025173611111111,697,2304,0.28091076,0.21930549
2_43_346,51.4,65.8232,14.423197,0.3589409722222222,827,2304,0.28060693,0.21912028
16_333_136,50.3,64.401794,14.101791,0.4010416666666667,924,2304,0.2803537,0.21896581
11_602_425,44.0,56.329044,12.329045,0.3706597222222222,854,2304,0.28020558,0.21887545
0_253_344,49.25,63.038387,13.788387,0.5069444444444444,1168,2304,0.27996725,0.21873002
5_272_344,44.48,56.85644,12.376439,0.5377604166666666,1239,2304,0.2782473,0.21767876
3_828_302,39.510002,50.492416,10.982415,0.3654513888888889,842,2304,0.27796546,0.21750623
0_151_834,119.5,152.62646,33.12646,0.5238715277777778,1207,2304,0.27720886,0.2170427
4_105_41,56.600002,72.257095,15.657097,0.39453125,909,2304,0.27662715,0.21668594
4_356_41,63.14,80.57892,17.438917,0.3424479166666667,789,2304,0.27619445,0.21642034
16_486_740,47.0,59.95516,12.955157,0.4444444444444444,1024,2304,0.27564165,0.21608078
6_474_41,62.420002,79.55319,17.133192,0.3441840277777778,793,2304,0.2744824,0.21536775
0_232_834,144.8,184.50089,39.70088,0.5685763888888888,1310,2304,0.27417734,0.21517988
3_766_302,40.72,51.87755,11.157546,0.3706597222222222,854,2304,0.27400652,0.21507466
3_719_315,56.31,71.706474,15.396476,0.36328125,837,2304,0.27342346,0.21471529
0_142_90,68.0,86.538475,18.538475,0.3606770833333333,831,2304,0.27262464,0.21422234
2_42_286,44.8,57.004807,12.204804,0.3042534722222222,701,2304,0.27242866,0.21410131
3_720_116,40.62,51.683617,11.063615,0.3467881944444444,799,2304,0.27236867,0.21406426
0_211_819,39.510002,50.26594,10.755941,0.33203125,765,2304,0.27223337,0.2139807
13_637_272,58.48,74.38004,15.900041,0.3780381944444444,871,2304,0.27188852,0.21376756
0_525_834,109.700005,139.49997,29.799965,0.4631076388888889,1067,2304,0.27164963,0.21361987
0_140_633,48.57,61.740753,13.170751,0.4205729166666667,969,2304,0.2711705,0.21332346
0_154_834,169.40001,215.30142,45.901417,0.6558159722222222,1511,2304,0.27096465,0.21319607
9_38_332,45.3,57.57199,12.27199,0.4474826388888889,1031,2304,0.27090487,0.21315902
3_729_188,86.200005,109.5322,23.3322,0.4796006944444444,1105,2304,0.27067515,0.2130168
3_419_607,52.86,67.16559,14.305586,0.40234375,927,2304,0.27063158,0.2129898
3_828_188,71.4,90.71873,19.318724,0.4722222222222222,1088,2304,0.27057037,0.21295188
2_92_45,47.4,60.210033,12.810034,0.32421875,747,2304,0.27025387,0.2127558
6_493_740,83.8,106.4472,22.647194,0.4704861111111111,1084,2304,0.2702529,0.21275519
11_528_381,43.100002,54.74636,11.6463585,0.2747395833333333,633,2304,0.27021712,0.21273302
3_768_120,84.94,107.88146,22.941462,0.4032118055555556,929,2304,0.2700902,0.21265434
0_291_21,45.5,57.733097,12.233097,0.3624131944444444,835,2304,0.26885927,0.21189053
0_74_41,110.39,140.04938,29.659376,0.4192708333333333,966,2304,0.2686781,0.211778
3_108_792,41.670002,52.85701,11.187011,0.3572048611111111,823,2304,0.26846677,0.21164668
10_23_635,44.260002,56.140945,11.880944,0.3368055555555556,776,2304,0.26843524,0.21162708
0_134_536,43.7,55.427746,11.727746,0.3046875,702,2304,0.26836947,0.21158619
0_291_797,44.07,55.862602,11.792603,0.3107638888888889,716,2304,0.267588,0.21110013
0_115_834,105.4,133.44704,28.04703,0.3940972222222222,908,2304,0.26610085,0.21017349
0_109_21,53.4,67.59041,14.190408,0.3454861111111111,796,2304,0.26573795,0.20994706
12_391_600,43.2,54.643154,11.443154,0.3971354166666667,915,2304,0.26488784,0.20941606
0_182_768,68.4,86.49649,18.09649,0.4131944444444444,952,2304,0.26456857,0.20921648
6_609_600,40.7,51.463417,10.763416,0.4006076388888889,923,2304,0.2644574,0.20914695
0_148_650,55.600002,70.285225,14.685222,0.3546006944444444,817,2304,0.2641227,0.20893754
0_19_21,55.600002,70.27,14.669998,0.3953993055555556,911,2304,0.26384887,0.20876618
0_182_630,46.24,58.439953,12.199953,0.3177083333333333,732,2304,0.2638398,0.20876049
0_183_21,52.100002,65.83479,13.734795,0.3146701388888889,725,2304,0.26362368,0.20862517
0_131_843,45.600002,57.556396,11.956397,0.3064236111111111,706,2304,0.26220167,0.20773359
